"시점",서울,서울,서울,서울,서울,서울
"시점",강북권역,강북권역,강북권역,강남권역,강남권역,강남권역
"시점",종합,연립다세대,단독주택,종합,연립다세대,단독주택
"2019.01",99.9,99.9,99.7,100.5,100.1,99.9
"2019.02",99.9,99.9,99.7,100.5,100.0,99.9
"2019.03",99.9,99.9,99.7,100.5,100.0,100.0
"2019.04",99.9,99.9,99.7,100.5,99.9,100.0
"2019.05",99.9,99.8,99.7,100.5,99.9,100.0
"2019.06",99.9,99.8,99.7,100.5,99.9,99.9
"2019.07",99.9,99.8,99.7,100.5,99.8,99.9
"2019.08",99.9,99.8,99.7,100.4,99.9,99.9
"2019.09",99.9,99.8,99.7,100.4,99.8,99.8
"2019.10",99.9,99.8,99.7,100.3,99.8,99.8
"2019.11",99.9,99.8,99.7,100.3,99.8,99.8
"2019.12",99.8,99.8,99.7,100.2,99.8,99.8
"2020.01",99.8,99.8,99.7,100.1,99.8,99.8
"2020.02",99.8,99.8,99.7,100.1,99.8,99.9
"2020.03",99.8,99.8,99.7,100.1,99.8,99.9
"2020.04",99.8,99.8,99.7,100.1,99.8,99.9
"2020.05",99.8,99.8,99.7,100.1,99.8,99.9
"2020.06",99.8,99.8,99.6,100.0,99.8,99.9
"2020.07",99.7,99.8,99.6,100.0,99.8,99.9
"2020.08",99.7,99.8,99.6,99.9,99.8,99.9
"2020.09",99.7,99.8,99.6,99.8,99.8,99.9
"2020.10",99.7,99.8,99.7,99.9,99.8,99.9
"2020.11",99.7,99.8,99.7,99.9,99.8,99.9
"2020.12",99.8,99.8,99.7,100.0,99.9,99.9
"2021.01",99.9,99.8,99.8,100.0,99.9,100.0
"2021.02",99.9,99.9,99.8,100.1,100.0,100.0
"2021.03",99.9,99.9,99.9,100.0,100.0,100.0
"2021.04",99.9,99.9,99.9,100.0,100.0,100.0
"2021.05",100.0,100.0,99.9,100.0,100.0,100.0
"2021.06",100.0,100.0,100.0,100.0,100.0,100.0
"2021.07",100.1,100.1,100.1,100.2,100.0,100.0
"2021.08",100.2,100.2,100.2,100.2,100.2,100.1
"2021.09",100.4,100.3,100.3,100.4,100.2,100.2
"2021.10",100.6,100.4,100.3,100.7,100.4,100.2
"2021.11",100.8,100.4,100.4,100.8,100.4,100.3
"2021.12",101.0,100.5,100.5,101.1,100.4,100.3
"2022.01",101.2,100.5,100.5,101.4,100.4,100.3
"2022.02",101.2,100.5,100.5,101.4,100.4,100.3
"2022.03",101.4,100.5,100.5,101.5,100.5,100.3
"2022.04",101.5,100.5,100.5,101.6,100.5,100.3
"2022.05",101.7,100.5,100.6,101.6,100.6,100.3
"2022.06",101.9,100.6,100.6,101.6,100.6,100.3
"2022.07",102.0,100.7,100.7,101.7,100.7,100.4
"2022.08",102.2,100.7,100.7,101.8,100.8,100.4
"2022.09",102.5,100.8,100.8,102.0,100.9,100.5
"2022.10",102.7,100.9,100.8,102.1,100.9,100.6
"2022.11",102.7,100.9,100.8,102.1,101.0,100.6
"2022.12",102.8,100.8,100.9,102.1,100.9,100.6
"2023.01",102.8,100.8,100.8,101.8,100.8,100.5
"2023.02",102.8,100.8,100.8,101.6,100.9,100.5
"2023.03",102.9,100.9,100.7,101.6,101.0,100.4
"2023.04",103.1,101.0,100.7,101.7,101.2,100.4
"2023.05",103.4,101.1,100.8,102.4,101.4,100.4
"2023.06",103.7,101.3,100.8,102.9,101.6,100.5
"2023.07",104.0,101.7,100.9,103.0,101.8,100.6
"2023.08",104.4,102.0,101.0,103.2,101.9,100.7
"2023.09",104.6,102.2,101.1,103.3,102.2,100.9
"2023.10",104.8,102.4,101.2,103.5,102.3,101.0
