시점,동작,관악
2019.01,97.5,99.3
2019.02,97.5,99.3
2019.03,97.4,99.2
2019.04,97.4,99.2
2019.05,97.3,99.1
2019.06,97.4,99.0
2019.07,97.4,98.8
2019.08,97.5,98.8
2019.09,97.5,98.8
2019.10,97.6,98.8
2019.11,97.6,98.9
2019.12,97.8,99.0
2020.01,97.9,99.0
2020.02,98.0,99.0
2020.03,98.0,99.0
2020.04,98.0,99.0
2020.05,98.1,99.0
2020.06,98.1,99.0
2020.07,98.1,99.1
2020.08,98.3,99.1
2020.09,98.4,99.2
2020.10,98.5,99.3
2020.11,98.7,99.4
2020.12,99.0,99.6
2021.01,99.3,99.7
2021.02,99.5,99.8
2021.03,99.6,99.9
2021.04,99.7,99.9
2021.05,99.7,99.9
2021.06,100.0,100.0
2021.07,100.3,100.0
2021.08,100.6,100.1
2021.09,101.0,100.1
2021.10,101.4,100.2
2021.11,101.6,100.2
2021.12,101.9,100.3
2022.01,102.1,100.3
2022.02,102.1,100.4
2022.03,102.1,100.4
2022.04,102.1,100.4
2022.05,102.1,100.5
2022.06,102.1,100.5
2022.07,102.2,100.5
2022.08,102.2,100.6
2022.09,102.3,100.7
2022.10,102.3,100.8
2022.11,102.2,100.7
2022.12,101.9,100.7
2023.01,101.0,100.6
2023.02,99.7,100.4
2023.03,99.2,100.3
2023.04,99.0,100.3
2023.05,99.0,100.2
2023.06,99.0,100.2
2023.07,99.0,100.2
2023.08,99.1,100.2
2023.09,99.1,100.3
2023.10,99.2,100.3
